cuda
  5%|██████▍                                                                                                                | 27/500 [00:10<02:59,  2.63it/s]
Episode 267: Total Reward = -1531.5095831036526
Episode 268: Total Reward = -1652.1921958454193
Episode 269: Total Reward = -1644.1574186183077
Episode 270: Total Reward = -1674.4503919102815
Episode 271: Total Reward = -1604.9178836130868
Episode 272: Total Reward = -1676.6332300981933
Episode 273: Total Reward = -1643.5645348022156
Episode 274: Total Reward = -1587.2379361581527
Episode 275: Total Reward = -1608.2665045086974
Episode 276: Total Reward = -1709.4177752731105
Episode 277: Total Reward = -1569.9658335672366
Episode 278: Total Reward = -1737.7406295595015
Episode 279: Total Reward = -1609.8520088595135
Episode 280: Total Reward = -1495.0397801658962
Episode 281: Total Reward = -1526.3191028676558
Episode 282: Total Reward = -1569.8467183613252
Episode 283: Total Reward = -1481.3148017619349
Episode 284: Total Reward = -1706.900096274057
Episode 285: Total Reward = -1736.3043688973535
Episode 286: Total Reward = -1630.782500476545
Episode 287: Total Reward = -1619.7812127493594
Episode 288: Total Reward = -1602.9911125302538
Episode 289: Total Reward = -1620.9213516986426
Episode 290: Total Reward = -1515.9821004390342
Episode 291: Total Reward = -1633.9237130643028
Episode 292: Total Reward = -1628.2710369037095
Episode 293: Total Reward = -1634.8832286428546
Episode 294: Total Reward = -1602.207729435952
Episode 295: Total Reward = -1578.0066831736287
Episode 296: Total Reward = -1734.9494269336794
Episode 297: Total Reward = -1755.5258695373882
Episode 298: Total Reward = -1528.678675141595
Episode 299: Total Reward = -1694.8036281606219
Episode 300: Total Reward = -1663.695668436437
Saved checkpoint at episode 300 to result-a2c_pendulum_sweep/exp_20250514-133248/checkpoint_ep300.pt
Episode 301: Total Reward = -1514.8023828976086
Episode 302: Total Reward = -1661.4911939553929
Episode 303: Total Reward = -1597.904897561819
Episode 304: Total Reward = -1652.1173251731657
Episode 305: Total Reward = -1651.4332280846038
Episode 306: Total Reward = -1663.9704414102816
Episode 307: Total Reward = -1686.3567615893805
Episode 308: Total Reward = -1560.9862748461605
Episode 309: Total Reward = -1677.6348935827662
Episode 310: Total Reward = -1562.201104899894
Episode 311: Total Reward = -1535.3466718878337
Episode 312: Total Reward = -1597.4255186120595
Episode 313: Total Reward = -1700.7019333550563
Episode 314: Total Reward = -1579.0933385919056
Episode 315: Total Reward = -1645.435655357744
Episode 316: Total Reward = -1633.1788818942418
Episode 317: Total Reward = -1644.302011818103
Episode 318: Total Reward = -1617.376724106404
Episode 319: Total Reward = -1729.335714921174
Episode 320: Total Reward = -1637.5464144368325
Episode 321: Total Reward = -1671.5432500602944
Episode 322: Total Reward = -1680.487420327727
Episode 323: Total Reward = -1549.1456191000032
Episode 324: Total Reward = -1589.946285712165
Episode 325: Total Reward = -1671.2528016153763
Episode 326: Total Reward = -1717.6672670560697
Episode 327: Total Reward = -1649.458542607775
Episode 328: Total Reward = -1605.077910133393
Episode 329: Total Reward = -1669.8028009024742
Episode 330: Total Reward = -1604.9372707144616
Episode 331: Total Reward = -1607.8765855826148
Episode 332: Total Reward = -1476.8195511616757
Episode 333: Total Reward = -1627.6337432255523
Episode 334: Total Reward = -1654.8197664045763
Episode 335: Total Reward = -1603.0366448462148
Episode 336: Total Reward = -1602.2623298353153
Episode 337: Total Reward = -1618.8101388974767
Episode 338: Total Reward = -1565.2700304316954
Episode 339: Total Reward = -1705.4971711142039
Episode 340: Total Reward = -1701.3599769243053
Episode 341: Total Reward = -1598.685295514609
Episode 342: Total Reward = -1633.8141642740698
Episode 343: Total Reward = -1626.5736080612558
Episode 344: Total Reward = -1613.3125405544038
Episode 345: Total Reward = -1680.6919749750255
Episode 346: Total Reward = -1599.0067391578082
Episode 347: Total Reward = -1567.153876847798
Episode 348: Total Reward = -1572.344391942967
Episode 349: Total Reward = -1516.2812209835067
Episode 350: Total Reward = -1568.5111327272948
Episode 351: Total Reward = -1666.0461103826842
Episode 352: Total Reward = -1704.6206131033443
Episode 353: Total Reward = -1670.6143877724198
Episode 354: Total Reward = -1539.3843027312903
Episode 355: Total Reward = -1572.7196619404215
Episode 356: Total Reward = -1637.959265079692
Episode 357: Total Reward = -1693.4057787848365
Episode 358: Total Reward = -1550.8785813542881
Episode 359: Total Reward = -1647.4866404872535
Episode 360: Total Reward = -1659.802672789218
Episode 361: Total Reward = -1626.4218068084244
Episode 362: Total Reward = -1636.4218465828676
Episode 363: Total Reward = -1670.8246190338916
Episode 364: Total Reward = -1620.4411382228677
Episode 365: Total Reward = -1619.3903487746752
Episode 366: Total Reward = -1631.974526287991
Episode 367: Total Reward = -1606.0228796273666
Episode 368: Total Reward = -1607.0707442308244
Episode 369: Total Reward = -1639.547929077835
Episode 370: Total Reward = -1634.7377037390197
Episode 371: Total Reward = -1609.8734576916554
Episode 372: Total Reward = -1674.5439792926607
Episode 373: Total Reward = -1630.2590994891382
Episode 374: Total Reward = -1547.2951692027475
Episode 375: Total Reward = -1584.7246380265522
Episode 376: Total Reward = -1590.3954191164655
Episode 377: Total Reward = -1596.7945487112981
Episode 378: Total Reward = -1690.5284701885214
Episode 379: Total Reward = -1613.1258790715644
Episode 380: Total Reward = -1664.5501673718045
Episode 381: Total Reward = -1650.943463678354
Episode 382: Total Reward = -1576.4660725104675
Episode 383: Total Reward = -1662.2650887500795
Episode 384: Total Reward = -1615.7125746376573
Episode 385: Total Reward = -1645.2222993653872
Episode 386: Total Reward = -1636.6422312979682
Episode 387: Total Reward = -1646.9807853547113
Episode 388: Total Reward = -1534.747293437838
Episode 389: Total Reward = -1660.9935544425068
Episode 390: Total Reward = -1653.0949945304744
