cuda
  6%|███████▍                                                                                                               | 31/499 [00:12<03:06,  2.52it/s]
Episode 259: Total Reward = -1617.7773110586768
Episode 260: Total Reward = -1619.5791794041863
Episode 261: Total Reward = -1625.1929001103533
Episode 262: Total Reward = -1620.6227967426676
Episode 263: Total Reward = -1605.0669429773577
Episode 264: Total Reward = -1615.386037641344
Episode 265: Total Reward = -1595.299857354194
Episode 266: Total Reward = -1618.7929038753502
Episode 267: Total Reward = -1604.2840745851197
Episode 268: Total Reward = -1579.3459391853573
Episode 269: Total Reward = -1606.166098425205
Episode 270: Total Reward = -1592.2093958134571
Episode 271: Total Reward = -1581.4629879113068
Episode 272: Total Reward = -1596.9069949028644
Episode 273: Total Reward = -1585.50790819842
Episode 274: Total Reward = -1573.219774376275
Episode 275: Total Reward = -1546.6733175970987
Episode 276: Total Reward = -1597.9802170802088
Episode 277: Total Reward = -1574.120466640101
Episode 278: Total Reward = -1574.483836833438
Episode 279: Total Reward = -1596.5869114046875
Episode 280: Total Reward = -1603.432559714138
Episode 281: Total Reward = -1556.3186550667026
Episode 282: Total Reward = -1569.158701491263
Episode 283: Total Reward = -1562.904944202868
Episode 284: Total Reward = -1528.2416523333413
Episode 285: Total Reward = -1549.5708955352238
Episode 286: Total Reward = -1566.1389723122911
Episode 287: Total Reward = -1516.188968794733
Episode 288: Total Reward = -1571.9731565857267
Episode 289: Total Reward = -1526.4997634714532
Episode 290: Total Reward = -1537.2903583982672
Episode 291: Total Reward = -1539.6737684992236
Episode 292: Total Reward = -1542.7382297163988
Episode 293: Total Reward = -1549.1256889059673
Episode 294: Total Reward = -1530.896051843759
Episode 295: Total Reward = -1555.7664799229917
Episode 296: Total Reward = -1534.519792894978
Episode 297: Total Reward = -1518.84341810331
Episode 298: Total Reward = -1535.9253727023201
Episode 299: Total Reward = -1532.4792090883107
Episode 300: Total Reward = -1527.3938339672948
Episode 301: Total Reward = -1557.113957871033
Episode 302: Total Reward = -1517.606717537692
Episode 303: Total Reward = -1541.7334399038436
Episode 304: Total Reward = -1539.6914358099434
Episode 305: Total Reward = -1520.261228281742
Episode 306: Total Reward = -1531.5751896761747
Episode 307: Total Reward = -1545.9569224974439
Episode 308: Total Reward = -1539.4981106655607
Episode 309: Total Reward = -1543.8533402620042
Episode 310: Total Reward = -1532.028165065125
Episode 311: Total Reward = -1517.7229197199676
Episode 312: Total Reward = -1511.972643789926
Episode 313: Total Reward = -1513.6814563607802
Episode 314: Total Reward = -1515.4737355165655
Episode 315: Total Reward = -1488.7744869593541
Episode 316: Total Reward = -1493.646519534497
Episode 317: Total Reward = -1490.914509975249
Episode 318: Total Reward = -1497.068070891329
Episode 319: Total Reward = -1480.9228234943635
Episode 320: Total Reward = -1503.8260071439158
Episode 321: Total Reward = -1495.9798585481894
Episode 322: Total Reward = -1480.6784517046542
Episode 323: Total Reward = -1474.7569599889796
Episode 324: Total Reward = -1463.6744078333452
Episode 325: Total Reward = -1466.2191609688878
 65%|█████████████████████████████████████████████████████████████████████████████                                         | 326/499 [02:10<01:09,  2.49it/s]
Episode 326: Total Reward = -1453.272268741795
