cuda
  6%|██████▉                                                                                                                | 29/500 [00:10<02:57,  2.65it/s]
Episode 237: Total Reward = -941.0321702222022
Episode 238: Total Reward = -951.0661452199417
Episode 239: Total Reward = -856.602922212194
Episode 240: Total Reward = -941.1663169070509
Episode 241: Total Reward = -952.6888583029196
Episode 242: Total Reward = -996.4616870960675
Episode 243: Total Reward = -1083.2471364561634
Episode 244: Total Reward = -1131.1102048268242
Episode 245: Total Reward = -1053.7824509293396
Episode 246: Total Reward = -1039.0851214507213
Episode 247: Total Reward = -982.5807439490638
Episode 248: Total Reward = -945.2862303279577
Episode 249: Total Reward = -911.6741464687657
Episode 250: Total Reward = -836.7436439168101
Episode 251: Total Reward = -887.8253494410995
Episode 252: Total Reward = -1038.7610762817146
Episode 253: Total Reward = -1036.7058285662893
Episode 254: Total Reward = -987.0751735942031
Episode 255: Total Reward = -1078.8611001789156
Episode 256: Total Reward = -1012.0720315779969
Episode 257: Total Reward = -1055.729372166553
Episode 258: Total Reward = -1076.0238593269044
Episode 259: Total Reward = -1086.0486556511082
Episode 260: Total Reward = -1123.836210401933
Episode 261: Total Reward = -1037.9886622670929
Episode 262: Total Reward = -1000.4653215921098
Episode 263: Total Reward = -944.8351324649117
Episode 264: Total Reward = -1020.8894032333238
Episode 265: Total Reward = -1139.8440738372806
Episode 266: Total Reward = -1160.1866530477614
Episode 267: Total Reward = -1135.0332584517637
Episode 268: Total Reward = -1136.0821172876845
Episode 269: Total Reward = -1060.0810389625365
Episode 270: Total Reward = -1087.1050818079125
Episode 271: Total Reward = -954.4346659277967
Episode 272: Total Reward = -947.7735779856974
Episode 273: Total Reward = -933.4229568889219
Episode 274: Total Reward = -1063.360391106142
Episode 275: Total Reward = -978.4718045675581
Episode 276: Total Reward = -1077.3155263481055
Episode 277: Total Reward = -1045.1284594332753
Episode 278: Total Reward = -1002.6138287146374
Episode 279: Total Reward = -1007.5166269429309
Episode 280: Total Reward = -933.3373719681642
Episode 281: Total Reward = -1052.4939667892943
Episode 282: Total Reward = -1030.4064884861516
Episode 283: Total Reward = -1035.0868022755117
Episode 284: Total Reward = -1011.3032204938755
Episode 285: Total Reward = -1054.7954030645617
Episode 286: Total Reward = -1066.2996544409618
Episode 287: Total Reward = -1031.5399434267201
Episode 288: Total Reward = -899.3045229693646
Episode 289: Total Reward = -887.8998924225048
Episode 290: Total Reward = -951.5506167875127
Episode 291: Total Reward = -1014.4167859915766
Episode 292: Total Reward = -977.6267488686543
Episode 293: Total Reward = -820.5597196066725
Episode 294: Total Reward = -1015.3213114075685
Episode 295: Total Reward = -1059.0586319310007
Episode 296: Total Reward = -1049.2464120011698
Episode 297: Total Reward = -1062.0540704191853
Episode 298: Total Reward = -1100.0201694239445
Episode 299: Total Reward = -1104.6397025576625
Episode 300: Total Reward = -1105.2626561241475
Saved checkpoint at episode 300 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep300.pt
