cuda
  6%|██████▉                                                                                                                | 29/500 [00:11<03:05,  2.54it/s]
Episode 479: Total Reward = -1447.131357316545
Episode 480: Total Reward = -1416.6653722959475
Episode 481: Total Reward = -1439.5503484755086
Episode 482: Total Reward = -1445.2086265491737
Episode 483: Total Reward = -1436.751596910816
Episode 484: Total Reward = -1444.4102614865694
Episode 485: Total Reward = -1409.236209837614
Episode 486: Total Reward = -1442.7326092380483
Episode 487: Total Reward = -1441.6674383077757
Episode 488: Total Reward = -1444.4113843413047
Episode 489: Total Reward = -1392.257193327668
Episode 490: Total Reward = -1382.4444560531463
Episode 491: Total Reward = -1424.8432222987874
Episode 492: Total Reward = -1442.252058323901
Episode 493: Total Reward = -1415.8698909764694
Episode 494: Total Reward = -1342.3774218444723
Episode 495: Total Reward = -1230.4308104529503
Episode 496: Total Reward = -1272.4177721515282
Episode 497: Total Reward = -1258.0414421714383
Episode 498: Total Reward = -926.3268753471555
Episode 499: Total Reward = -1235.9941050927646
Episode 500: Total Reward = -1331.2290008285959
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133925/checkpoint_ep500.pt
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133925/checkpoint_ep500.pt
